# step   N   rho   U
39200 172 0.501458 -512.782
39250 174 0.507289 -524.526
39300 175 0.510204 -531.707
39350 175 0.510204 -530.106
39400 177 0.516035 -539.499
39450 175 0.510204 -526.112
39500 176 0.51312 -533.536
39550 178 0.51895 -528.78
39600 178 0.51895 -528.004
39650 178 0.51895 -533.902
39700 177 0.516035 -527.178
39750 177 0.516035 -524.933
39800 175 0.510204 -493.18
39850 178 0.51895 -504.773
39900 178 0.51895 -499.07
39950 178 0.51895 -502.516
40000 179 0.521866 -500.541
40050 179 0.521866 -525.223
40100 179 0.521866 -537.462
40150 179 0.521866 -538.966
40200 177 0.516035 -522.062
40250 177 0.516035 -514.183
40300 178 0.51895 -511.564
40350 180 0.524781 -527.102
40400 180 0.524781 -528.222
40450 179 0.521866 -527.482
40500 180 0.524781 -529.848
40550 181 0.527697 -527.44
40600 183 0.533528 -538.771
40650 183 0.533528 -541.487
40700 183 0.533528 -544.591
40750 184 0.536443 -529.145
40800 183 0.533528 -524.915
40850 183 0.533528 -527.975
40900 180 0.524781 -522.58
40950 181 0.527697 -526.673
41000 183 0.533528 -533.659
41050 182 0.530612 -537.601
41100 181 0.527697 -532.42
41150 181 0.527697 -537.653
41200 179 0.521866 -529.83
41250 179 0.521866 -522.657
41300 179 0.521866 -519.824
41350 178 0.51895 -516.799
41400 178 0.51895 -513.349
41450 178 0.51895 -511.323
41500 178 0.51895 -509.211
41550 177 0.516035 -509.865
41600 174 0.507289 -497.912
41650 174 0.507289 -511.767
41700 173 0.504373 -512.206
41750 173 0.504373 -514.673
41800 173 0.504373 -515.438
41850 171 0.498542 -503.528
41900 171 0.498542 -503.03
41950 170 0.495627 -503.911
42000 171 0.498542 -509.656
42050 170 0.495627 -508.668
42100 171 0.498542 -506.286
42150 168 0.489796 -492.597
42200 168 0.489796 -495.04
42250 168 0.489796 -489.852
42300 171 0.498542 -497.105
42350 171 0.498542 -494.928
42400 169 0.492711 -484.209
42450 171 0.498542 -493.549
42500 172 0.501458 -488.215
42550 173 0.504373 -502.232
42600 175 0.510204 -509.226
42650 173 0.504373 -505.168
42700 175 0.510204 -519.483
42750 176 0.51312 -534.199
42800 176 0.51312 -539.652
42850 179 0.521866 -547.248
42900 178 0.51895 -546.143
42950 180 0.524781 -547.718
43000 183 0.533528 -558.912
43050 183 0.533528 -560.19
43100 180 0.524781 -539.716
43150 179 0.521866 -534.329
43200 180 0.524781 -538.042
43250 180 0.524781 -542.009
43300 185 0.539359 -555.283
43350 186 0.542274 -564.065
43400 187 0.54519 -559.641
43450 185 0.539359 -558.3
43500 185 0.539359 -557.122
43550 187 0.54519 -564.576
43600 187 0.54519 -554.988
43650 186 0.542274 -560.974
43700 187 0.54519 -561.062
43750 191 0.556851 -574.778
43800 190 0.553936 -574.695
43850 189 0.55102 -569.603
43900 187 0.54519 -564.191
43950 186 0.542274 -564.686
44000 186 0.542274 -568.711
44050 185 0.539359 -559.798
44100 185 0.539359 -561.871
44150 186 0.542274 -565.847
44200 185 0.539359 -562.251
44250 187 0.54519 -572.437
44300 187 0.54519 -589.512
44350 183 0.533528 -569.11
44400 184 0.536443 -570.189
44450 183 0.533528 -561.618
44500 184 0.536443 -567.225
44550 184 0.536443 -563.502
44600 184 0.536443 -563.905
44650 183 0.533528 -551.704
44700 182 0.530612 -543.143
44750 181 0.527697 -539.114
44800 181 0.527697 -539.265
44850 177 0.516035 -520.559
44900 176 0.51312 -518.354
44950 176 0.51312 -516.911
45000 176 0.51312 -517.731
45050 176 0.51312 -523.69
45100 177 0.516035 -534.361
45150 177 0.516035 -530.666
45200 176 0.51312 -529.781
45250 175 0.510204 -527.075
