# step   N   rho   U
12600 10 0.0291545 -2.81698
12650 18 0.0524781 -4.46975
12700 19 0.0553936 -6.82551
12750 18 0.0524781 -8.42636
12800 19 0.0553936 -11.0758
12850 22 0.0641399 -10.9503
12900 23 0.0670554 -10.9939
12950 30 0.0874636 -18.0263
13000 25 0.0728863 -13.2689
13050 29 0.0845481 -21.2477
13100 28 0.0816327 -20.6446
13150 26 0.0758017 -16.0342
13200 32 0.0932945 -20.2631
13250 21 0.0612245 -9.90289
13300 15 0.0437318 -4.66522
13350 17 0.0495627 -3.64657
13400 15 0.0437318 -4.24528
13450 18 0.0524781 -2.7169
13500 11 0.03207 -1.87785
13550 14 0.0408163 -2.31354
13600 17 0.0495627 -4.47372
13650 11 0.03207 -3.27788
13700 13 0.0379009 -3.33428
13750 11 0.03207 -2.37785
13800 11 0.03207 -4.44551
13850 15 0.0437318 -3.23231
13900 16 0.0466472 -6.66908
13950 17 0.0495627 -8.47267
14000 18 0.0524781 -7.53273
14050 19 0.0553936 -10.9042
14100 25 0.0728863 -11.1687
14150 23 0.0670554 -16.0322
14200 14 0.0408163 -4.95632
14250 18 0.0524781 -6.18352
14300 21 0.0612245 -7.94893
14350 17 0.0495627 -4.68598
14400 17 0.0495627 -8.00547
14450 25 0.0728863 -13.4264
14500 28 0.0816327 -14.9657
14550 21 0.0612245 -10.2987
14600 25 0.0728863 -14.4654
14650 26 0.0758017 -13.6926
14700 30 0.0874636 -15.3792
14750 27 0.0787172 -14.5945
14800 21 0.0612245 -13.0575
14850 18 0.0524781 -7.24099
14900 16 0.0466472 -4.4089
14950 13 0.0379009 -4.59376
15000 23 0.0670554 -9.063
15050 26 0.0758017 -15.2063
15100 31 0.090379 -24.6532
15150 31 0.090379 -26.1277
15200 22 0.0641399 -11.1978
15250 25 0.0728863 -10.9295
15300 18 0.0524781 -5.39412
15350 13 0.0379009 -6.45431
15400 17 0.0495627 -8.03664
15450 26 0.0758017 -16.2277
15500 16 0.0466472 -8.51633
15550 23 0.0670554 -11.5046
15600 21 0.0612245 -11.6647
15650 16 0.0466472 -2.54889
15700 9 0.0262391 -1.2831
15750 20 0.058309 -10.3662
15800 14 0.0408163 -2.60367
15850 15 0.0437318 -3.06975
15900 14 0.0408163 -4.07673
15950 16 0.0466472 -5.35314
16000 18 0.0524781 -10.5366
16050 15 0.0437318 -7.15136
16100 27 0.0787172 -16.6998
16150 24 0.0699708 -11.3206
16200 13 0.0379009 -5.81725
16250 18 0.0524781 -5.0275
16300 14 0.0408163 -1.73665
16350 14 0.0408163 -4.01746
16400 23 0.0670554 -10.5237
16450 11 0.03207 -4.73678
16500 15 0.0437318 -5.55539
16550 14 0.0408163 -3.71824
16600 17 0.0495627 -6.33512
16650 22 0.0641399 -9.19186
16700 20 0.058309 -6.11588
16750 19 0.0553936 -8.7436
16800 16 0.0466472 -7.24381
16850 23 0.0670554 -5.921
16900 12 0.0349854 -2.95018
16950 14 0.0408163 -5.13936
17000 24 0.0699708 -7.99058
17050 21 0.0612245 -5.69722
17100 28 0.0816327 -15.9913
17150 26 0.0758017 -12.8283
17200 26 0.0758017 -19.3772
17250 22 0.0641399 -17.9535
17300 16 0.0466472 -8.7451
17350 19 0.0553936 -9.49684
17400 16 0.0466472 -5.15488
17450 20 0.058309 -12.4812
17500 22 0.0641399 -10.0329
17550 20 0.058309 -7.97463
17600 21 0.0612245 -10.6721
17650 22 0.0641399 -15.8984
17700 19 0.0553936 -12.7094
17750 24 0.0699708 -12.7145
17800 20 0.058309 -10.2442
17850 17 0.0495627 -12.4594
17900 21 0.0612245 -13.1707
17950 19 0.0553936 -9.21804
18000 17 0.0495627 -6.96047
